ind,origin,destination,flow
680,p06,k13,3.0
681,t02,t06,1534.0
682,m22,m19,1461.0
683,l03,m02,15.0
684,r18,r02,230.0
685,r25,r08,13.0
686,i07,i10,181.0
687,r32,r31,1.0
688,a01,u28,462.0
689,f19,r25,6.0
690,i03,i03,48354.0
691,s06,p09,2.0
692,r19,f17,31.0
693,k10,p16,4.0
694,l01,m19,425.0
695,i18,t00,329.0
696,a05,v10,5.0
697,a10,v03,69.0
698,k06,n13,13.0
699,e12,i02,28.0
700,t00,i17,507.0
701,n17,n07,113.0
702,m12,d00,92.0
703,e02,i18,16.0
704,i14,p01,5.0
705,u12,h03,10.0
706,a04,h10,901.0
707,u18,u05,1851.0
708,h03,h04,5445.0
709,h11,u24,271.0
710,e08,j02,478.0
711,p13,p09,32.0
712,n15,k19,1.0
713,l06,m19,115.0
714,k18,k09,7.0
715,u28,h10,353.0
716,v09,v05,189.0
717,h11,q00,24.0
718,i02,e12,33.0
719,b11,q00,15.0
720,i10,t02,1229.0
721,i16,i20,2.0
722,v09,j02,1288.0
723,r30,f18,31.0
724,i01,i19,669.0
725,e12,i19,47.0
726,l03,m24,314.0
727,m22,f07,21.0
728,e02,e14,119.0
729,i10,p09,9.0
730,s09,t07,339.0
731,r32,r21,1.0
732,l04,m26,47.0
733,i12,i10,60.0
734,u23,u12,9.0
735,p05,p25,89.0
736,p02,p22,3592.0
737,h00,a04,464.0
738,m08,n11,7.0
739,u05,h04,11078.0
740,m18,m28,30.0
741,h00,q02,257.0
742,e08,e02,40.0
743,f01,r30,12.0
744,p13,s07,16.0
745,i14,t03,418.0
746,r17,g10,1072.0
747,u17,a00,213.0
748,r30,f13,65.0
749,i02,i08,15.0
750,n00,n01,2.0
751,v01,v02,8.0
752,t02,p22,190.0
753,m24,l01,193.0
754,g09,f07,921.0
755,m09,m22,3278.0
756,m07,m18,81.0
757,p04,t06,85.0
758,u27,q03,2.0
759,m25,m28,23.0
760,r19,r25,7.0
761,u22,u01,230.0
762,p13,p00,19.0
763,p14,i15,46.0
764,m19,g00,77.0
765,f24,f21,10.0
766,f08,f00,39.0
767,h07,q04,44.0
768,q05,q04,138.0
769,g00,f14,199.0
770,u15,u18,641.0
771,m09,m25,223.0
772,p21,i19,25.0
773,n03,m12,2.0
774,p01,p23,21.0
775,i03,p00,2.0
776,u12,b11,1.0
777,f09,f09,1108.0
778,m20,d01,180.0
779,n06,n14,22.0
780,i15,p01,10.0
781,m15,m17,22.0
782,u09,h08,805.0
783,n10,k05,2.0
784,i16,e05,104.0
785,r02,f25,24.0
786,p22,i10,177.0
787,a02,u14,48.0
788,k15,k14,31.0
789,t07,s08,6.0
790,k01,k19,5.0
791,e16,e07,22.0
792,g01,f15,374.0
793,u05,u14,2835.0
794,i17,t05,449.0
795,c08,c08,2212.0
796,m12,n03,13.0
797,f17,f04,67.0
798,r21,r19,9.0
799,u01,a06,31.0
800,g00,g06,233.0
801,f23,f11,18.0
802,h07,u13,376.0
803,f04,m17,6.0
804,n04,m07,29.0
805,m01,m20,459.0
806,e07,e09,5.0
807,h03,a01,467.0
808,a09,u28,160.0
809,p10,k05,2.0
810,m14,l00,34.0
811,m17,f11,3.0
812,k16,d01,61.0
813,k10,k02,23.0
814,h02,q05,22.0
815,p20,p03,15.0
816,f10,f25,18.0
817,e05,e02,3.0
818,i02,e07,42.0
819,g02,f08,217.0
820,v09,j01,44.0
821,s08,s10,29.0
822,n01,n08,8.0
823,n03,n04,293.0
824,r24,f20,13.0
825,r18,g04,67.0
826,p06,i09,9.0
827,i05,i15,4348.0
828,r24,f26,2.0
829,u23,h10,4307.0
830,f20,f20,26892.0
831,p16,k16,1.0
832,t04,i20,4.0
833,g01,f07,3480.0
834,h09,u23,350.0
835,i19,p00,9.0
836,f12,m23,6.0
837,r08,f18,55.0
838,u02,u19,36.0
839,f11,g01,369.0
840,b08,b08,27474.0
841,i09,p13,12.0
842,u05,u09,626.0
843,m19,m17,24.0
844,m28,l00,92.0
845,i01,p00,16.0
846,f21,n05,1.0
847,i17,p22,86.0
848,u04,h02,11.0
849,h05,q05,99.0
850,n05,d00,97.0
851,r26,r07,84.0
852,p24,p12,184.0
853,e05,t01,147.0
854,m24,m16,7.0
855,t03,p04,8.0
856,e15,e08,59.0
857,u19,q05,4.0
858,e07,e03,350.0
859,h11,q04,13.0
860,e02,e05,21.0
861,i00,i20,260.0
862,u21,u26,176.0
863,l05,m24,66.0
864,u05,u18,3416.0
865,f04,f14,334.0
866,k15,k03,15.0
867,u04,h10,47.0
868,l03,l03,146851.0
869,i18,t05,117.0
870,t07,i17,292.0
871,f06,g03,1721.0
872,f05,m10,2.0
873,m27,m22,81.0
874,t00,i16,207.0
