ind,origin,destination,flow
301,台中市南區,台中縣烏日鄉,1498.0
302,台南縣玉井鄉,台南縣玉井鄉,12976.0
303,台南縣下營鄉,嘉義縣朴子市,12.0
304,高雄縣路竹鄉,高雄縣旗山鎮,44.0
305,桃園縣新屋鄉,桃園縣八德市,76.0
306,高雄市楠梓區,高雄縣橋頭鄉,1257.0
307,彰化縣鹿港鎮,彰化縣竹塘鄉,2.0
308,高雄市鼓山區,高雄市鼓山區,82817.0
309,台南縣六甲鄉,台南縣新市鄉,145.0
310,南投縣集集鎮,南投縣名間鄉,114.0
311,基隆市仁愛區,台北縣永和市,51.0
312,彰化縣花壇鄉,彰化縣埤頭鄉,10.0
313,桃園縣龍潭鄉,台北縣鶯歌鎮,94.0
314,新竹縣芎林鄉,桃園縣中壢市,129.0
315,苗栗縣苑裡鎮,苗栗縣銅鑼鄉,21.0
316,台南縣玉井鄉,台南縣佳里鎮,10.0
317,台南縣佳里鎮,台南縣後壁鄉,25.0
318,高雄縣彌陀鄉,高雄縣路竹鄉,249.0
319,台中市西屯區,台中縣太平市,578.0
320,花蓮縣富里鄉,台東縣東河鄉,2.0
321,雲林縣東勢鄉,嘉義縣新港鄉,8.0
322,台南縣北門鄉,嘉義縣東石鄉,1.0
323,高雄縣田寮鄉,高雄縣阿蓮鄉,342.0
324,台北市大同區,台北縣汐止市,281.0
325,新竹縣北埔鄉,苗栗縣頭份鎮,59.0
326,高雄縣田寮鄉,高雄縣美濃鎮,2.0
327,雲林縣崙背鄉,彰化縣埔心鄉,1.0
328,彰化縣大城鄉,雲林縣土庫鎮,5.0
329,嘉義市西區,雲林縣虎尾鎮,85.0
330,台南縣將軍鄉,嘉義縣鹿草鄉,1.0
331,台中市南區,台中市中區,1265.0
332,屏東縣來義鄉,屏東縣萬巒鄉,56.0
333,嘉義縣梅山鄉,嘉義縣民雄鄉,297.0
334,台中縣太平市,台中縣沙鹿鎮,300.0
335,苗栗縣苑裡鎮,台中縣大安鄉,52.0
336,屏東縣麟洛鄉,屏東縣東港鎮,14.0
337,桃園縣楊梅鎮,桃園縣楊梅鎮,105710.0
338,屏東縣里港鄉,高雄縣梓官鄉,2.0
339,苗栗縣三灣鄉,苗栗縣獅潭鄉,4.0
340,苗栗縣後龍鎮,新竹市東區,593.0
341,嘉義縣東石鄉,雲林縣四湖鄉,3.0
342,台北縣深坑鄉,台北縣三重市,87.0
343,彰化縣溪湖鎮,彰化縣線西鄉,11.0
344,台中市北屯區,台中縣龍井鄉,137.0
345,基隆市信義區,基隆市暖暖區,193.0
346,台北縣石碇鄉,台北縣蘆洲市,17.0
347,台中市南屯區,彰化縣伸港鄉,29.0
348,台中縣大里市,台中縣大里市,135193.0
349,台南縣新化鎮,台南縣東山鄉,6.0
350,台南縣學甲鎮,台南縣六甲鄉,10.0
351,基隆市仁愛區,台北縣貢寮鄉,13.0
352,台中市中區,台中縣大肚鄉,6.0
353,高雄縣彌陀鄉,高雄市三民區,285.0
354,台南縣玉井鄉,台南縣歸仁鄉,32.0
355,高雄縣仁武鄉,屏東縣內埔鄉,74.0
356,新竹縣竹東鎮,新竹縣五峰鄉,129.0
357,高雄市楠梓區,高雄市旗津區,103.0
358,苗栗縣通霄鎮,台中縣神岡鄉,12.0
359,台南縣後壁鄉,台南縣白河鎮,522.0
360,高雄縣鳥松鄉,高雄縣鳥松鄉,25525.0
361,台南縣大內鄉,台南縣山上鄉,278.0
362,嘉義縣義竹鄉,雲林縣北港鎮,10.0
363,宜蘭縣員山鄉,宜蘭縣大同鄉,47.0
364,高雄市小港區,高雄市小港區,122504.0
365,桃園縣新屋鄉,桃園縣龜山鄉,81.0
366,桃園縣大溪鎮,台北市萬華區,57.0
367,桃園縣新屋鄉,桃園縣蘆竹鄉,86.0
368,台中市中區,台中縣神岡鄉,4.0
369,台北市大同區,台北縣三芝鄉,19.0
370,南投縣草屯鎮,彰化縣北斗鎮,13.0
371,高雄縣茄萣鄉,高雄市三民區,66.0
372,屏東縣內埔鄉,屏東縣新埤鄉,21.0
373,台南縣柳營鄉,嘉義縣布袋鎮,16.0
374,屏東縣東港鎮,屏東縣琉球鄉,32.0
375,嘉義市東區,台南縣白河鎮,87.0
376,台南縣安定鄉,台南縣善化鎮,572.0
377,雲林縣西螺鎮,彰化縣北斗鎮,27.0
378,台北市信義區,基隆市中正區,462.0
379,彰化縣永靖鄉,彰化縣二林鎮,60.0
380,台北縣淡水鎮,台北縣三重市,1026.0
381,台中縣清水鎮,苗栗縣卓蘭鎮,14.0
382,台南縣新市鄉,台南縣北門鄉,3.0
383,台中縣外埔鄉,苗栗縣卓蘭鎮,14.0
384,嘉義縣溪口鄉,雲林縣虎尾鎮,24.0
385,雲林縣斗六市,雲林縣斗六市,91753.0
386,台北縣泰山鄉,桃園縣大溪鎮,27.0
387,台中市西屯區,台中市北屯區,1279.0
388,宜蘭縣壯圍鄉,宜蘭縣蘇澳鎮,203.0
389,台北縣三重市,台北縣萬里鄉,10.0
390,高雄縣岡山鎮,高雄縣岡山鎮,83039.0
391,台南縣後壁鄉,台南縣山上鄉,3.0
392,屏東縣佳冬鄉,屏東縣枋山鄉,36.0
393,台南市西區,台南縣七股鄉,44.0
394,高雄縣大樹鄉,屏東縣新園鄉,8.0
395,彰化縣二林鎮,彰化縣鹿港鎮,96.0
396,雲林縣大埤鄉,嘉義縣竹崎鄉,1.0
397,新竹縣寶山鄉,新竹縣竹東鎮,244.0
398,台北市北投區,桃園縣八德市,44.0
399,花蓮縣秀林鄉,花蓮縣新城鄉,618.0
400,嘉義縣東石鄉,台南縣新營市,37.0
401,高雄市鹽埕區,高雄市鼓山區,628.0
402,高雄市前金區,高雄市前鎮區,672.0
403,彰化縣社頭鄉,雲林縣西螺鎮,19.0
404,台北市大安區,台北市中山區,7528.0
405,雲林縣褒忠鄉,雲林縣斗六市,144.0
406,台北市中山區,台北縣坪林鄉,8.0
407,台南市安平區,台南市南區,1531.0
408,台中縣豐原市,台中市西屯區,1623.0
409,台中市南區,南投縣中寮鄉,3.0
410,彰化縣埔鹽鄉,雲林縣二崙鄉,1.0
411,台北市大安區,台北市松山區,7000.0
412,雲林縣口湖鄉,嘉義縣朴子市,81.0
413,彰化縣和美鎮,台中市西屯區,373.0
414,台中縣新社鄉,彰化縣彰化市,51.0
415,高雄市前鎮區,高雄市楠梓區,1115.0
416,彰化縣二林鎮,彰化縣福興鄉,65.0
417,台北縣深坑鄉,台北縣萬里鄉,1.0
418,台北縣三峽鎮,台北縣鶯歌鎮,1238.0
419,新竹縣關西鎮,新竹縣湖口鄉,469.0
420,彰化縣和美鎮,彰化縣溪湖鎮,87.0
421,台南縣左鎮鄉,台南縣楠西鄉,4.0
422,台北縣新店市,台北縣三峽鎮,483.0
423,嘉義縣新港鄉,嘉義縣民雄鄉,606.0
424,新竹縣新埔鎮,桃園縣大園鄉,41.0
425,新竹縣新豐鄉,新竹縣竹北市,1246.0
426,台北市松山區,台北縣石碇鄉,38.0
427,桃園縣大溪鎮,桃園縣大園鄉,351.0
428,台北縣中和市,桃園縣大園鄉,556.0
429,南投縣中寮鄉,南投縣南投市,1225.0
430,台南縣安定鄉,台南縣柳營鄉,42.0
431,嘉義縣溪口鄉,雲林縣古坑鄉,1.0
432,高雄縣大樹鄉,高雄縣內門鄉,5.0
433,屏東縣東港鎮,屏東縣枋寮鄉,74.0
434,高雄市楠梓區,高雄縣茄萣鄉,25.0
435,台南縣新營市,嘉義縣義竹鄉,135.0
436,高雄縣湖內鄉,高雄縣大樹鄉,28.0
437,苗栗縣南庄鄉,苗栗縣泰安鄉,4.0
438,彰化縣田尾鄉,雲林縣林內鄉,3.0
439,桃園縣桃園市,桃園縣龜山鄉,5129.0
440,台南市東區,台南縣新市鄉,1051.0
441,高雄縣大社鄉,高雄市鼓山區,123.0
442,南投縣埔里鎮,南投縣魚池鄉,278.0
443,高雄縣梓官鄉,台南縣關廟鄉,2.0
444,基隆市中山區,台北縣汐止市,1279.0
445,台中縣大里市,彰化縣彰化市,465.0
446,彰化縣鹿港鎮,彰化縣田中鎮,114.0
447,彰化縣埔鹽鄉,彰化縣福興鄉,709.0
448,台南縣永康市,高雄縣彌陀鄉,11.0
449,台南縣七股鄉,台南市南區,150.0
450,台南縣官田鄉,台南縣六甲鄉,552.0
451,南投縣國姓鄉,台中縣新社鄉,11.0
452,雲林縣北港鎮,雲林縣台西鄉,22.0
453,台中市北區,台中市南區,692.0
454,台中縣大肚鄉,台中市西區,510.0
455,屏東縣高樹鄉,高雄縣杉林鄉,1.0
456,台中縣東勢鎮,台中縣潭子鄉,629.0
457,南投縣鹿谷鄉,彰化縣社頭鄉,3.0
458,高雄縣梓官鄉,台南縣仁德鄉,77.0
459,台北縣板橋市,台北縣三芝鄉,40.0
460,苗栗縣苑裡鎮,台中縣外埔鄉,32.0
461,高雄縣鳥松鄉,屏東縣長治鄉,3.0
462,高雄縣路竹鄉,高雄縣大樹鄉,31.0
463,台北縣新莊市,台北縣新莊市,292275.0
464,新竹縣尖石鄉,新竹縣五峰鄉,12.0
465,台南縣七股鄉,台南縣永康市,429.0
466,高雄縣鳥松鄉,高雄市新興區,483.0
467,台東縣關山鎮,台東縣成功鎮,7.0
468,台南縣白河鎮,台南縣東山鄉,152.0
469,高雄縣路竹鄉,高雄縣大社鄉,26.0
470,台南縣善化鎮,台南縣山上鄉,509.0
471,新竹縣新豐鄉,桃園縣中壢市,373.0
472,屏東縣萬巒鄉,屏東縣來義鄉,19.0
473,台北縣新莊市,台北縣新店市,1241.0
474,高雄縣橋頭鄉,高雄市前金區,120.0
475,基隆市信義區,台北縣石門鄉,10.0
476,嘉義縣溪口鄉,嘉義縣中埔鄉,11.0
477,高雄縣田寮鄉,高雄縣旗山鎮,45.0
478,台南縣鹽水鎮,台南縣白河鎮,39.0
479,台中縣石岡鄉,台中縣烏日鄉,22.0
480,台北縣八里鄉,台北市內湖區,159.0
481,台南縣山上鄉,台南縣楠西鄉,3.0
482,台北縣新店市,台北市文山區,9939.0
483,高雄市新興區,屏東縣萬巒鄉,3.0
484,台中縣太平市,台中市西屯區,2099.0
485,雲林縣虎尾鎮,彰化縣二水鄉,3.0
486,台北市南港區,台北縣五股鄉,255.0
487,屏東縣麟洛鄉,屏東縣里港鄉,14.0
488,台北市中山區,台北縣三重市,1441.0
489,台南縣永康市,台南縣玉井鄉,208.0
490,彰化縣和美鎮,彰化縣福興鄉,67.0
491,台北市中正區,台北縣新莊市,933.0
492,桃園縣大溪鎮,桃園縣大溪鎮,66971.0
493,台中市東區,南投縣中寮鄉,2.0
494,屏東縣林邊鄉,屏東縣潮州鎮,185.0
495,台北市內湖區,基隆市七堵區,270.0
496,高雄縣梓官鄉,屏東縣九如鄉,6.0
497,雲林縣莿桐鄉,彰化縣芳苑鄉,2.0
498,高雄縣阿蓮鄉,台南縣仁德鄉,306.0
499,台中縣豐原市,彰化縣彰化市,284.0
500,台中縣梧棲鎮,彰化縣彰化市,141.0
501,彰化縣田中鎮,彰化縣大村鄉,106.0
502,台南市中區,台南市東區,2067.0
